id,personnelCode,fullName,dateOfBirth,gender,placeOfOrigin,birthPlace,ethnicity,religion,category,managingOrgan,managingOrganAssignedBy,managingOrganAssignedAt,managingOrganReason,unitId,status,militaryIdNumber,militaryRank,position,enlistmentDate,dischargeDate,studentIdNumber,employeeIdNumber,educationLevel,specialization,version,deletedAt,deletedBy,createdAt,updatedAt
cmlul7xct00vht7xry73a0697,CB00001,Cao Văn Cương,2000-10-07 11:43:40.199,MALE,,,,,CONG_NHAN_VIEN,,,,,cmjjumzap0001tsi2duq5956e,DANG_CONG_TAC,QN00000001,Thiếu tá,Trợ lý,2011-10-24 00:46:54.394,,,,,,1,,,2026-02-20 07:47:46.205,2026-02-20 07:47:46.205
cmlul7xd600vjt7xrq1gjqfry,CB00002,Đỗ Đình Chiến,1962-11-29 17:34:56.306,MALE,,,,,CONG_NHAN_VIEN,,,,,cmjjumzap0001tsi2duq5956e,DANG_CONG_TAC,QN00000002,Trung tá,Trợ lý,2005-03-15 18:56:25.98,,,,,,1,,,2026-02-20 07:47:46.218,2026-02-20 07:47:46.218
cmlul7xda00vlt7xrp9fdc5z0,CB00003,Nguyễn Trần Tiến,1977-07-16 19:02:42.799,MALE,,,,,CONG_NHAN_VIEN,,,,,cmjjumzap0001tsi2duq5956e,DANG_CONG_TAC,QN00000003,Đại úy,Trợ lý,2006-02-04 11:01:38.761,,,,,,1,,,2026-02-20 07:47:46.222,2026-02-20 07:47:46.222
cmlul7xde00vnt7xrifmq44jl,CB00004,Đoàn Nam Giang,1978-09-27 01:28:13.998,FEMALE,,,,,CONG_NHAN_VIEN,,,,,cmjjumzap0001tsi2duq5956e,DANG_CONG_TAC,QN00000004,Đại úy,Trợ lý,2012-03-24 10:53:12.734,,,,,,1,,,2026-02-20 07:47:46.226,2026-02-20 07:47:46.226
cmlul7xdi00vpt7xrf4efheap,CB00005,Dương Văn Minh,1966-01-03 01:11:37.772,MALE,,,,,CONG_NHAN_VIEN,,,,,cmjjumzap0001tsi2duq5956e,DANG_CONG_TAC,QN00000005,Thiếu tá,Trợ lý,1997-06-11 21:45:11.763,,,,,,1,,,2026-02-20 07:47:46.23,2026-02-20 07:47:46.23
cmlul7xdm00vrt7xr458i9r6z,CB00006,Trần Văn Đức,1989-07-20 03:58:05.631,MALE,,,,,CONG_NHAN_VIEN,,,,,cmjjumzap0001tsi2duq5956e,DANG_CONG_TAC,QN00000006,Đại úy,Trợ lý,1996-09-29 03:12:42.085,,,,,,1,,,2026-02-20 07:47:46.234,2026-02-20 07:47:46.234
cmlul7xdq00vtt7xrzg14jcwd,CB00007,Hà Phương Trung,1978-01-10 21:15:47.233,MALE,,,,,CONG_NHAN_VIEN,,,,,cmjjumzap0001tsi2duq5956e,DANG_CONG_TAC,QN00000007,Trung tá QNCN,Trợ lý,2008-10-26 16:12:07.335,,,,,,1,,,2026-02-20 07:47:46.238,2026-02-20 07:47:46.238
cmlul7xdt00vvt7xr3lmfs3i8,CB00008,Nguyễn Chiến Thắng,1990-02-12 01:50:08.806,MALE,,,,,CONG_NHAN_VIEN,,,,,cmjjumzap0001tsi2duq5956e,DANG_CONG_TAC,QN00000008,Thiếu tá,Trợ lý,2008-11-14 03:52:58.783,,,,,,1,,,2026-02-20 07:47:46.242,2026-02-20 07:47:46.242
cmlul7xdx00vxt7xrgxv88l20,CB00009,Nguyễn Văn Hưng,1991-05-19 05:48:55.856,FEMALE,,,,,CONG_NHAN_VIEN,,,,,cmjjumzap0001tsi2duq5956e,DANG_CONG_TAC,QN00000009,Trung tá,Trợ lý,2007-09-20 08:51:06.676,,,,,,1,,,2026-02-20 07:47:46.246,2026-02-20 07:47:46.246
cmlul7xe100vzt7xrvuqbhpar,CB00010,Vũ Đức Thắng,2000-05-10 18:59:37.949,MALE,,,,,CONG_NHAN_VIEN,,,,,cmjjumzap0001tsi2duq5956e,DANG_CONG_TAC,QN00000010,Thiếu tá,Trợ lý,2003-02-17 08:54:20.691,,,,,,1,,,2026-02-20 07:47:46.249,2026-02-20 07:47:46.249
cmlul7xe500w1t7xrhtb24sab,CB00011,Đỗ Quang Cơ,1999-07-27 01:45:48.497,MALE,,,,,CONG_NHAN_VIEN,,,,,cmjjumzap0001tsi2duq5956e,DANG_CONG_TAC,QN00000011,Thiếu tá,Trợ lý,2000-12-16 20:16:12.023,,,,,,1,,,2026-02-20 07:47:46.253,2026-02-20 07:47:46.253
cmlul7xe800w3t7xrssqetew0,CB00012,Đoàn Nam Hà,1990-01-04 16:41:22.58,MALE,,,,,CONG_NHAN_VIEN,,,,,cmjjumzap0001tsi2duq5956e,DANG_CONG_TAC,QN00000012,Thiếu tá,Trợ lý,2003-08-08 19:36:48.521,,,,,,1,,,2026-02-20 07:47:46.256,2026-02-20 07:47:46.256
cmlul7xec00w5t7xrb9irhn32,CB00013,Chu Văn Phùng,1983-10-14 21:34:08.15,FEMALE,,,,,CONG_NHAN_VIEN,,,,,cmjjumzap0001tsi2duq5956e,DANG_CONG_TAC,QN00000013,Thiếu tá,Trợ lý,1998-05-16 20:20:12.896,,,,,,1,,,2026-02-20 07:47:46.26,2026-02-20 07:47:46.26
cmlul7xeg00w7t7xr55gzfg56,CB00014,Nguyễn Công Phúc,1973-11-16 12:50:49.524,MALE,,,,,CONG_NHAN_VIEN,,,,,cmjjumzap0001tsi2duq5956e,DANG_CONG_TAC,QN00000014,Đại úy,Trợ lý,1998-08-14 14:54:18.157,,,,,,1,,,2026-02-20 07:47:46.264,2026-02-20 07:47:46.264
cmlul7xej00w9t7xrzidrbor5,CB00015,Lê Minh Tưởng,1969-11-26 13:07:30.057,MALE,,,,,CONG_NHAN_VIEN,,,,,cmjjumzap0001tsi2duq5956e,DANG_CONG_TAC,QN00000015,Đại úy,Trợ lý,2007-03-07 07:19:30.858,,,,,,1,,,2026-02-20 07:47:46.268,2026-02-20 07:47:46.268
cmlul7xen00wbt7xryk7kpyeh,CB00016,Phạm Đình Văn,1991-12-11 12:31:55.811,MALE,,,,,CONG_NHAN_VIEN,,,,,cmjjumzap0001tsi2duq5956e,DANG_CONG_TAC,QN00000016,Thượng úy,Trợ lý,1999-07-17 01:26:18.053,,,,,,1,,,2026-02-20 07:47:46.271,2026-02-20 07:47:46.271
cmlul7xer00wdt7xrty2q4pce,CB00017,Phạm Anh Dũng,1977-09-26 21:45:09.424,MALE,,,,,CONG_NHAN_VIEN,,,,,cmjjumzap0001tsi2duq5956e,DANG_CONG_TAC,QN00000017,Trung úy,Trợ lý,2015-06-20 06:29:38.941,,,,,,1,,,2026-02-20 07:47:46.275,2026-02-20 07:47:46.275
cmlul7xeu00wft7xr24d8y48k,CB00018,Trần Ngọc Quỳnh,1976-12-09 05:23:18.902,MALE,,,,,CONG_NHAN_VIEN,,,,,cmjjumzap0001tsi2duq5956e,DANG_CONG_TAC,QN00000018,Thiếu tá,Trợ lý,2014-02-25 12:10:33.714,,,,,,1,,,2026-02-20 07:47:46.279,2026-02-20 07:47:46.279
cmlul7xey00wht7xrkwrnvins,CB00019,Đỗ Việt Tân,1963-07-27 19:02:09.994,MALE,,,,,CONG_NHAN_VIEN,,,,,cmjjumzap0001tsi2duq5956e,DANG_CONG_TAC,QN00000019,Thiếu tá,Trợ lý,1995-02-19 00:02:02.772,,,,,,1,,,2026-02-20 07:47:46.283,2026-02-20 07:47:46.283
cmlul7xf200wjt7xr6n43abfw,CB00020,Lê Văn Chung,1997-04-02 10:27:19.463,MALE,,,,,CONG_NHAN_VIEN,,,,,cmjjumzap0001tsi2duq5956e,DANG_CONG_TAC,QN00000020,Thượng úy,Trợ lý,2005-09-20 11:35:18.783,,,,,,1,,,2026-02-20 07:47:46.286,2026-02-20 07:47:46.286
cmlul7xf600wlt7xrk61bqhgy,CB00021,Nguyễn Thanh Long,1983-06-14 06:46:27.478,FEMALE,,,,,CONG_NHAN_VIEN,,,,,cmjjumzap0001tsi2duq5956e,DANG_CONG_TAC,QN00000021,Thượng úy,Trợ lý,2005-08-06 11:31:11.57,,,,,,1,,,2026-02-20 07:47:46.29,2026-02-20 07:47:46.29
cmlul7xf900wnt7xrlek4xigh,CB00022,Nguyễn Thành Trung,1978-06-01 02:04:58.491,MALE,,,,,CONG_NHAN_VIEN,,,,,cmjjumzbd000ftsi2f0xdpnnd,DANG_CONG_TAC,QN00000022,Đại tá,Chánh Văn phòng,2003-12-19 01:34:38.835,,,,,,1,,,2026-02-20 07:47:46.294,2026-02-20 07:47:46.294
cmlul7xfd00wpt7xroukef6ge,CB00023,Nguyễn Xuân Trường,1972-04-23 05:19:53.114,MALE,,,,,CONG_NHAN_VIEN,,,,,cmjjumzap0001tsi2duq5956e,DANG_CONG_TAC,QN00000023,Đại tá,P. Chánh Văn phòng,2009-01-11 12:10:34.281,,,,,,1,,,2026-02-20 07:47:46.297,2026-02-20 07:47:46.297
cmlul7xfg00wrt7xr7suspkpi,CB00024,Phan Kim Toàn,1995-12-26 11:43:33.4,MALE,,,,,CONG_NHAN_VIEN,,,,,cmjjumzap0001tsi2duq5956e,DANG_CONG_TAC,QN00000024,Đại tá,P. Chánh Văn phòng,2006-03-11 14:34:09.123,,,,,,1,,,2026-02-20 07:47:46.301,2026-02-20 07:47:46.301
cmlul7xfk00wtt7xr60644adj,CB00025,Bùi Văn Tiến,1963-03-01 11:49:23.445,MALE,,,,,CONG_NHAN_VIEN,,,,,cmjjumzap0001tsi2duq5956e,DANG_CONG_TAC,QN00000025,Đại tá,P. Chánh Văn phòng,2014-12-16 08:42:27.112,,,,,,1,,,2026-02-20 07:47:46.304,2026-02-20 07:47:46.304
